Partner ID,Partner Type,Earnings (Value),Earnings (Stability Type),Perf. Rating (Avg),Time on Platform (Months),Order/Trip Volume,Financial Activity (Score),Earnings Volatility,On-Time Loan Repayments,Operational Anomaly Score,Creditworthy
00001,Merchant,1385,Seasonal,4.3,17,416,0.49,0.24,7,0.2,0
00002,Driver,2193,Seasonal,4.8,35,546,0.65,0.1,13,0.04,1
00003,Merchant,937,Stable,4.2,15,273,0.37,0.54,7,0.32,0
00004,Merchant,1886,Seasonal,4.3,5,540,0.51,0.22,8,0.11,0
00005,Driver,2237,Stable,4.1,4,484,0.66,0.1,15,0.17,0
00006,Driver,1865,Stable,4.9,40,504,0.73,0.1,15,0.0,1
00007,Driver,1960,Stable,3.9,9,447,0.55,0.1,9,0.17,0
00008,Merchant,924,Stable,4.5,17,282,0.24,0.51,3,0.24,0
00009,Driver,2160,Stable,4.2,12,510,0.66,0.1,14,0.18,0
00010,Driver,1152,Stable,4.3,8,360,0.33,0.32,4,0.12,0
00011,Driver,1244,Stable,4.9,37,354,0.44,0.4,6,0.1,1
00012,Merchant,1045,Stable,4.9,45,341,0.51,0.35,9,0.0,1
00013,Driver,2414,Variable,4.3,27,679,0.83,0.1,14,0.25,1
00014,Merchant,991,Stable,4.7,32,272,0.43,0.55,10,0.2,0
00015,Driver,2047,Seasonal,4.5,28,562,0.65,0.1,13,0.23,1
00016,Driver,1201,Stable,5.0,42,373,0.48,0.23,8,0.1,1
00017,Driver,2304,Stable,5.0,44,644,0.91,0.1,15,0.0,1
00018,Merchant,845,Seasonal,4.2,25,224,0.36,0.49,6,0.27,0
00019,Driver,1977,Stable,4.7,16,407,0.48,0.18,9,0.17,1
00020,Driver,1735,Seasonal,4.4,13,466,0.49,0.1,7,0.29,0
00021,Driver,1743,Stable,4.8,45,359,0.75,0.1,15,0.0,1
00022,Driver,1290,Variable,4.3,5,355,0.35,0.42,6,0.17,0
00023,Driver,2184,Stable,4.7,41,442,0.8,0.1,15,0.25,1
00024,Driver,2403,Stable,4.7,43,504,0.94,0.1,15,0.0,1
00025,Driver,1128,Seasonal,4.3,15,358,0.37,0.38,6,0.3,0
00026,Driver,2439,Stable,4.5,25,672,0.75,0.1,15,0.0,1
00027,Driver,2354,Variable,3.9,24,469,0.8,0.1,15,0.4,0
00028,Driver,2403,Stable,4.1,13,552,0.6,0.1,13,0.08,0
00029,Driver,2087,Variable,5.0,41,607,0.85,0.1,15,0.11,1
00030,Driver,2258,Stable,4.3,10,495,0.53,0.1,8,0.16,0
00031,Driver,2224,Variable,4.4,10,477,0.63,0.1,14,0.27,1
00032,Merchant,1742,Seasonal,4.6,28,454,0.63,0.11,13,0.11,1
00033,Driver,2115,Seasonal,4.8,47,575,0.84,0.1,14,0.24,1
00034,Driver,1238,Stable,4.1,7,288,0.28,0.32,3,0.33,0
00035,Merchant,903,Stable,4.6,21,301,0.3,0.36,6,0.02,0
00036,Driver,1534,Variable,4.6,43,374,0.7,0.33,15,0.13,1
00037,Driver,2273,Stable,4.0,2,663,0.56,0.1,10,0.23,0
00038,Driver,2441,Stable,4.3,35,470,0.85,0.1,15,0.23,1
00039,Driver,1876,Stable,3.7,5,555,0.57,0.1,11,0.23,0
00040,Driver,1002,Variable,4.6,29,292,0.41,0.31,7,0.05,0
00041,Merchant,1888,Stable,4.2,5,554,0.43,0.1,10,0.2,0
00042,Driver,1323,Stable,3.8,6,302,0.38,0.44,5,0.38,0
00043,Merchant,855,Stable,4.5,38,285,0.42,0.57,9,0.17,0
00044,Merchant,1753,Seasonal,4.5,27,502,0.61,0.16,10,0.26,1
00045,Merchant,1091,Stable,4.1,16,361,0.44,0.32,9,0.11,0
00046,Driver,2085,Seasonal,3.8,14,505,0.59,0.1,12,0.26,0
00047,Merchant,1842,Variable,4.3,5,463,0.55,0.1,11,0.2,0
00048,Driver,1779,Variable,4.3,18,413,0.46,0.1,9,0.26,0
00049,Driver,1515,Variable,4.4,31,465,0.48,0.28,9,0.11,0
00050,Driver,1725,Stable,4.7,39,368,0.66,0.13,12,0.19,1
00051,Merchant,1403,Stable,4.8,46,389,0.57,0.39,12,0.0,1
00052,Merchant,1426,Seasonal,4.4,35,444,0.55,0.36,9,0.25,0
00053,Merchant,1963,Stable,4.8,26,529,0.66,0.1,12,0.06,1
00054,Merchant,1663,Stable,4.7,43,413,0.73,0.26,13,0.06,1
00055,Driver,1983,Stable,4.2,21,547,0.67,0.1,13,0.34,0
00056,Merchant,1165,Stable,4.7,20,336,0.46,0.39,10,0.18,0
00057,Driver,1083,Seasonal,4.2,5,339,0.24,0.47,3,0.15,0
00058,Driver,2269,Stable,3.9,1,501,0.54,0.1,11,0.41,0
00059,Driver,2277,Seasonal,4.9,35,502,0.72,0.1,13,0.0,1
00060,Driver,1288,Stable,4.8,40,394,0.65,0.24,13,0.0,1
00061,Merchant,1331,Seasonal,4.3,17,303,0.34,0.45,8,0.27,0
00062,Merchant,1268,Stable,5.0,37,347,0.54,0.26,11,0.15,1
00063,Driver,1704,Stable,4.6,16,498,0.48,0.26,10,0.06,1
00064,Merchant,1389,Variable,4.9,33,429,0.51,0.15,12,0.2,1
00065,Driver,2366,Stable,4.7,31,474,0.8,0.1,15,0.03,1
